Profile URL,Name,Price,BHKS,WhyBuy,Amenities,Swimming Pool,Gymnasium,Status,Price per Sqft,Launch Date,Possession by,Total Towers,Total Units,Project Type,Property Type,Project Area,Occupancy Certificate,Commencement Certificate,Full Address,Pincode,About Developer,Specifications,Place,1 BHK,2 BHK,3 BHK,4 BHK,5 BHK,BHK Above 5
https://www.magicbricks.com/majestique-ephelia-salunkhe-vihar-pune-pdpid-4d4235323039383435,Majestique Ephelia,Call For Price,"2, 3, 4 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,20-Aug,24-Dec,data not available in site,81,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,"NIBM, Pune, Maharashtra",411048,data not available in site,data not available in site, Pune,No,yes,yes,yes,No,No
https://www.magicbricks.com/irene-towers-aundh-pune-pdpid-4d4235303033313832,Irene Towers,Call For Price,"2, 3 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,data not available in site,411007,"Naiknavare Developers Pvt. Ltd.
                      	


                                Years of Experience - 35",FlooringBalcony: Vitrified TilesKitchen: Vitrified TilesLiving/Dining: Vitrified TilesMaster Bedroom: Vitrified TilesOther Bedroom: Vitrified TilesToilets: Vitrified TilesWallsExterior: Acrylic PaintInterior: Oil Bound DistemperKitchen: Ceramic Tiles DadoOthersWindows: Powder Coated Aluminium SlidingFittingsKitchen: Modular Kitchen with Granite CounterToilets: Concealed Plumbing,data not available in site,No,yes,yes,No,No,No
https://www.magicbricks.com/forest-trails-highland-bhugaon-pune-pdpid-4d4235323239383939,Forest Trails Highland,Call For Price,"2, 3 BHKS","Why Buy in this Project?
Spacious Homes
Richness Of Construction Quality
Prime Location kothrud annex
Grand elevation & well-designed layout
Well-connected to the city & national highways
Location Advantages:2 Mins. : Sri Sri Ravishankar Vidya Mandir (SSRVM), apple hospital, The Cliff lifestyle club
5 Mins. : Indus International School, Sanskriti School, Ambrosia Resort, Asian Specialty Hospital, Manas Lake
10 Mins. : Bavdhan, chandani chowk, warje
15 Mins : Shyadri hospital, Big bazaar, Paud road, Kothrud, Karve road
+6 more",",Lift,Security,Fire Fighting Equipment No,Power Back Up No,Swimming Pool No,Club House No,Reserved Parking No,Visitor Parking No,Intercom Facility No,Maintenance Staff No,Bank & ATM No,Gymnasium",Yes,Yes,Under Construction,data not available in site,20-Nov,22-Jun,3,288,data not available in site,data not available in site,170 Acre,data not available in site,Yes,"Paud Road, Opposite Manas Lake, Bhugaon, Pune",411023,Paranjape Schemes Construction Ltd.,"RCCEarthquake-resistant RCC structureFlooringVitrified floor tiles fro living / dinning, kitchen & bedroomCeramic tiles for toilet, utility & balconyDado tiles in toilet up to lintel levelDado tiles above cooking platform up to lintel level in kitchenKitchenBlack granite kitchen platform with stainless steel sinkModular kitchen cabinets below platformDoorsAll doors will be flush door with laminate on both sides of the doorPowder coated aluminum sliding shutters with glass for balcony doorsWindowsPowder coated aluminium sliding windows with MS safety grillsPainting and FinishesGypsum punning and internal emulsion paint for all internal wallsElectrical and PlumbingConcealed wiring with modular switchesConcealed plumbing with C.P. plumbing fixturesElectrical and plumbing with provision for water heater and electrical provision for exhaust fan in toiletElectrical and plumbing provision for water purifier and electrical provision for exhaust fan in kitchenTV point in living roomA.C. point in bedroom", Bhugaon,No,yes,yes,No,No,No
https://www.magicbricks.com/vardhman-moonstone-tathawade-mumbai-pune-hwy-pune-pdpid-4d4235323131303831,Vardhman Moonstone Tathawade,Call For Price,"1, 2, 3 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Under Construction,data not available in site,data not available in site,24-Mar,data not available in site,data not available in site,data not available in site,data not available in site,3 Acre,data not available in site,data not available in site,"Bapu Buwaji Nagar, Tathawade, Dattwadi, Maharashtra",410405,Vardhaman Associates,data not available in site, Dattwadi,yes,yes,yes,No,No,No
https://www.magicbricks.com/surbhi-mangalam-dhanori-pune-pdpid-4d4235313836383230,SURBHI MANGALAM,Call For Price,"1, 2, 3 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Under Construction,data not available in site,20-Mar,22-Jun,4,112,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,411015,data not available in site,data not available in site,data not available in site,yes,yes,yes,No,No,No
https://www.magicbricks.com/majestique-venice-phase-ii-dhayari-pune-pdpid-4d4235313235343935,Majestique Venice Phase II,Call For Price,"1, 2 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Under Construction,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,411041,"Majestique Landmarks
                      	


                                Years of Experience - 46",data not available in site,data not available in site,yes,yes,No,No,No,No
https://www.magicbricks.com/soham-riveria-sinhagad-road-pune-pdpid-4d4235303137343939,Soham Riveria,Call For Price,3 BHKS,data not available in site,",Club House,Jogging and Strolling Track,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Visitor Parking,Intercom Facility,Kids Play Area,Vaastu Compliant",Yes,Detail not provided,Ready To Move,data not available in site,12-Jun,17-Feb,2,48,data not available in site,data not available in site,1 Acre,No,Yes," Sr. No. 9/2 Anand Nagar,Off. Sinhagad Road, Wadgaon Bk, Pune ",411051,"Soham Group
                      	


                                Years of Experience - 35",data not available in site, Wadgaon Bk,No,No,yes,No,No,No
https://www.magicbricks.com/periwinkle-wagholi-pune-pdpid-4d4235313333353739,Periwinkle,Call For Price,"1, 2 BHKS","Why Buy in this Project?
Multi Level Parking
Spacious Apartments
Connectivity to essentials
Accessibility to the most happening areas of Pune (Viman Nagar, KP)
Nearing Possession/Early Possession
Dense Social infra
Commercial + Residential in the same
Tallest residential building the area
Quality of Construction
Location Advantages:School & Colleges:The Lexicon International School - 1.1 km
Prodigy Public School - 1.2 km
Sanskriti School Wagholi Campus - 1.5 km
Phoenix World School - 6.5 Km
C P Goenka International School - 4.7 Km
Podar International School - 5.6 km
ICOER - 1.1 km
G H Raisoni College of Engineering & Management - 2.6 km
Moze College of Engineering - 2.6 km
JSPM - 1.4 km
Dhole Patil College Of Engineering - 6.5 km
ATMs:State Bank of India ATM - 1.7 km
Bank of Maharashtra, Bank Of Baroda, BOI - 1.2 km
HDFC - 2.9
Canara - 2.4 km
ICICI - 1.7 km
PNB - 1.1 km
IDBI - 2.6 km
AXIS - 1.8 km
Petrol Pumps:HP Petrol Pump B. U. Bhandari Service Station -3.8 km
BP - 1.5 km
ESSAR - 2 km
Indian Oil - 4.3 km
MNGL CNG - 3.9 km
Nearby Locations:Magarpatta - 13.1 km
Kharadi - 7.8 km
Viman Nagar - 9 km
Koregaon Park - 13 km
Kalyani Nagar - 11 km
+35 more",",Club House,Power Back Up,Lift,Gymnasium,Indoor Games Room,Piped Gas,Rain Water Harvesting,Grand Entrance lobby,CCTV Camera,Aesthetically designed landscape garden,Fire Fighting Equipment No,Swimming Pool",Yes,Yes,Under Construction,data not available in site,data not available in site,24-Jun,2,220,data not available in site,data not available in site,3 Acre,data not available in site,data not available in site,"Periwinkle, gat no- 683&663, Ivy estate road, Wagholi",412207,Ajit Constructions,"Granite Framing for sliding windowsSolar Water connection for master bedroom toilet with control valveInverter wiringDouble bowl sink with 180* movable water tap in dry balconyMaster toilet for 1bhk as wellControl valve for each toiletAC points, Footlights in every bedroomMajorly flats according to Vaastu - Shastra2 floors car parking with mechanical/stack. (3-tier parking)DG backup for common areasVDP for each flatMarble Door framesDifferent elevator for commercial officesDifferent Ramps for IN-OUTTar plaster work for siporex blocks from insideChicken-mesh for internal and externalRCC-brickwork jointsOpenable windows for all toiletsLobbies, passages with gypsum finishDouble coat plaster work from outer sideReducing plumbing lines for proper pressure managementDoor frames- plywood frames with laminateElongated entrance passage to all flats (reference-plans)French door for terracesBranded Electrical goods, CP fittings, sanitary wares & other goods.", Ivy estate road,yes,yes,No,No,No,No
https://www.magicbricks.com/skyhigh-towers-hinjewadi-pune-pdpid-4d4235313236383831,SkyHigh Towers,Call For Price,"2, 3 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Under Construction,data not available in site,19-Oct,22-Dec,2,234,data not available in site,data not available in site,10 Acre,data not available in site,data not available in site,"Sr. No. 277, Hinjawadi P-II, Pune, Maharashtra",411057,"Mittal Brothers Pvt. Ltd.
                      	


                                Years of Experience - 28","StructureRCC framed structure.Earthquake resistant 10 floors.TulesDado tiles in washroom & above kitchen platform.Flooring600 X 600 vitrified tiles in bedrooms, living rooms & kitchen.12""""X12"""" anti skid floor tiles in washroom, toilet, & terrace.PaintInternal OBD paint.Superior quality external paint.WindowsUPVC system windows with reflective glassMs safety grill.DoorsBoth side laminated flush doors.Wooden door frame on main door & bedroom doorsAll doors fittings with brass/stainless finishPlumbingIntelligent plumbing with concealed pipesSanitary & bath fittingsC.P fittingsGeyser provision in both bathroomElectricalsConcealed fire retardant low smoke copper wires.Circuit breaker.TV & telephone points in living & one bedroom.Modular switches.Split AC provision in one bedroom.Provision for exhaust fans in kitchen & washroom.Eco FeaturesRainwater harvesting.Solar panels.", Pune,No,yes,yes,No,No,No
https://www.magicbricks.com/ganga-vasant-handewadi-pune-pdpid-4d4235313435343235,Ganga Vasant,Call For Price,1 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,10-Dec,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,411028,Goel Ganga Developments,data not available in site,data not available in site,yes,No,No,No,No,No
