Profile URL,Name,Price,BHKS,WhyBuy,Amenities,Swimming Pool,Gymnasium,Status,Price per Sqft,Launch Date,Possession by,Total Towers,Total Units,Project Type,Property Type,Project Area,Occupancy Certificate,Commencement Certificate,Full Address,Pincode,About Developer,Specifications,Place,1 BHK,2 BHK,3 BHK,4 BHK,5 BHK,BHK Above 5
https://www.magicbricks.com/skyi-songbirds-bhugaon-pune-pdpid-4d4235303032343334,SKYi Songbirds, 34.0 Lac -  1.45 Cr,"1,2,3,4 BHK Flats","Why Buy in this Project?
24X7 Dedicated Water Supply
70% Open Spaces
3 kms from Kothrud, Bavdhan & Pune Metro.
The Poona Western Club
Multi-Layered Security
Gated Community
Green Design
Sun Path Analysis for brighter homes & Wind Pattern analysis for better ventilation
Over 200 Indigenous Trees & Top Soil Retention
Next to 7000 acres NDA Forest
Wind Pattern analysis for better ventilation
Location Advantage:2 mins from 6 lane National Highway
3 kms from Kothrud, Bavdhan and Kothrud Metro Station
3 kms from Mumbai- Pune National Highway
Pune Ring Road is just 500 meters away
Close to leading schools, colleges, and IT hubs
Close to leading hospitals and clinics
+14 more",",Club House,Power Back Up,Lift,Security,Kids Play Area,Piped Gas,Rain Water Harvesting,Large Open space,CCTV Camera,Water treatment plant,Cricket net practice,Community entrance gate",Detail not provided,Detail not provided,Under Construction,4824 - 8108,21-Jan,23-Dec,20,data not available in site,Residential,Flat,45 Acre,No,Yes,"SKYi Songbirds, Survey No. 274/1, Near Four Seasons, Bhugaon, Paud-Mulshi Road, Pune 412115",411023,"SKYi Developers
                      	


                                Years of Experience - 17","Impressive Main Entrance and LobbyBranded Elevators with Power Back UpProvision for Piped GasCCTV Cameras Seismic Resistant DesignAttached Covered BalconySafe No Climb Grill Design for BalconyPower Back up for Essential common facilitiesSafety Grill for WindowsAluminium Windows with Mosquito MeshDedicated Utility Space for Washing Machine, Clothes drying etcProvision for Exhaust Fan and GeyserProvision for InverterProvision for InternetProvision for DTH Sat Cable", Bhugaon,yes,yes,yes,yes,No,No
https://www.magicbricks.com/vivanta-tathawade-pune-pdpid-4d4235313839313134,Vivanta, 47.0 Lac -  49.0 Lac,2 BHK Flats,"Why Buy in this Project?
EXCELLENT LOCATION
WELL PLANNED ARCHITECTURE
SURPEB AMENITIES
AESTHETIC LANDSCAPING
PERFECT SIZED COMMUNITY
Location Advantages:-Baner - 5 km
Aundh - 9 km
Ravet - 2 km
Talawade IT Park Hinjawadi IT park - 4 km
Akshara International School - 2 km
Indira National School - 2 km
Podar International School - 4 km
Indira Institute of Management - 3.5 km
Balaji Institute of Management - 3 km
Aditya Birla Hospital - 3 km
Phoenix Mall- 4 km
TAS Academy -400 mtr
+14 more",",Club House,Jogging and Strolling Track,Power Back Up,Swimming Pool,Lift,Security,Reserved Parking,Visitor Parking,Intercom Facility,Maintenance Staff,Gymnasium,Indoor Games Room",Yes,Yes,Under Construction,4210 - 6772,data not available in site,23-Dec,2,92,Residential,Flat,33368 Sq-ft,data not available in site,data not available in site,data not available in site,411033,Shree Sonigara Punamiya Associates,"RCC - Earthquake Resistance RCC DesignWALLS - Pop/Gypsum Finish  O B D Paint For Interior  Sand Faced External Plaster with PaintFLOORING - 600 X 600 Mm Vitrified Tiles In Living , Kitchen And Bedrooms  Dado Tiles In Bathrooms  Kitchen dado upto 2 ft  Anti-Skid Designer Tiles For Bathroom And TerraceDOORS ,WINDOWS AND RAILINGS - Designer Laminated Doors  Granite/Marble Door Frames For Bathrooms  Aluminium Sliding Doors For Terrace  Aluminium Window With Mosquito Mesh  Granite Window SillKITCHEN - Granite Platform With SS Sink  Provision For Water Purifier  Provision For Washing MachineELECTRIFICATION - Concealed Electric Piping  Renowned Modular Switches  Smart Touch And Wifi Operated Switches  Standard Isi Multi-Strand Wire With Mcb And Elcb  Provision For Ac Points In Master / Common Bedroom  TV Points In Living  Telephone And Internet Point In Living Room  Ample Connection In Kitchen And TerracesPLUMBING - Jaguar / Hindware Or Equivalent C.P Fitting  Concealed Plumbing  Health Faucet  Solar Heated Water For Master Bedroom  Provion For Exhaust Fan And GyserULITIES - Water softer for domestic use water  Rainwater Harvesting  Water Recycle For Gardening And Flushing  Power Back Up In Common Area And Lifts  Inveter Provision In Each Apartment  Fire Fighting System  Termix/Paved Internal RoadsSECURITY - Video Door Phone For Each Apartment  CCTV Camera In Common Area  Security Cabin At Enrty Exit  Intercom Facilities  Finger Print And Card Access Control At Lower Ground LevelLIFT - Designer Lift Lobby  Branded Lift  Otis, Schindler Or Eqivivalent",data not available in site,No,yes,No,No,No,No
https://www.magicbricks.com/salarpuria-sattva-hm-royal-kondhwa-pune-pdpid-4d4235323331383637,Salarpuria Sattva HM Royal, 43.7 Lac -  74.9 Lac,"1,2 BHK Flats","Why Buy in this Project?
Enriched with all high-end amenities
Luxurious township, located in Heart of the Pune City
Perfect blend of contemporary and classy lifestyle
Location Advantages:Pune Mumbai Highway-15 Mins
MG Road Camp- 10 Mins
Magarpatta IT park-30 Mins
Pune Railway station-20 Mins
Pune Airport 40 Mins
Kharadi IT Park 45 Mins
NIBM Road 5 Min
Reliance mart 0.8 - 1.2 km
Katraj -15mins, Dmart 0.5 km
Royal Heritage Mall 3 - 4 km
More super Market 1 - 2 Km
+11 more",",Club House,Jogging and Strolling Track,Outdoor Tennis Courts,Private Terrace/Garden,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Visitor Parking,Intercom Facility",Yes,Detail not provided,Under Construction,6518 - 8722,21-Feb,24-Apr,5,232,Residential,Flat,8 Acre,No,Yes,"HM ROYAL, ARTI PROPERTIES PVT. LTD, SURVEY No. 18 & 19,  KONDHWA - 411048.",411048,Salarpuria Sattva Group,"StructureR.C.C Frame structure.WallsConcrete Block Masonry WallsDoorsMain door BST Flush doors & internal doors all painted flush doors with good quality wood door frames with elegant fixture and fitting.WindowsUPVC WindowsFlooringVitrified tile flooring for entire apartment.Internal PaintingAll walls elegantly finished in plastic Emulsion paint.External PaintingHigh quality cement based paint finish.KitchenKitchen cook tops in granite with 18"""" wall cladding in glazed tiles with stainless steels sink and CP fittings (Jaguar or Equivalent make).ToiletsWhite EWC (Parry ware slim line) and washbasin with CP (Jaguar or Equivalent make fittings). Flooring in matching Vitrified tiles and wall cladding up to 8' height in glazed tiles.Water SupplyHDPE Fitting & piping for water supply/sanitation in high quality HDPE pipes.Backup PowerEntire common lighting & lift will have a backup power. One light in living room & Kitchen in each apartment.ElectricalAnchor or Equivalent quality copper wire with all necessary MCB's and ELCB's etc. All bedroom will have an AC power outlet provided.Cable TV Points & InternetOne CTV point will be provided in living/dining & Bed room.SecurityCommon security for the apartment.Car ParkingStilt covered car parking provided at extra cost.ElevatorsTwo lifts of eight Passengers Capacity (Schindler or Otis or Leons)", SURVEY No. 18 & 19,yes,yes,No,No,No,No
https://www.magicbricks.com/puravankara-purva-aspire-bavdhan-pune-pdpid-4d4235313239323239,Puravankara Purva Aspire, 1.05 Cr -  1.75 Cr,"2,3 BHK Flats","Why Buy in this Project?
Intelligent Biometric Security
Intelligent Lighting & Cooling
Intelligent Motion Sensors
Intelligent Home Controls by Voice & BluNexTM App
Location Advantages:-Nearby Tech Parks/SEZsHinjewadi IT Park
Prabhavee Tech Park
Nano Space IT Park
Pune IT Park
Oracle
Nearby SchoolsRyan International School
Periwinkle English Medium
Sri Sri Ravishankar
Oxford International
Nearby CollegesSuryadatta College Of Management Information
Indian Institute of Cost and Management Studies
Vasantdada Patil Institute of Engineering
Indsearch
Indira Group
Nearby Medical FacilitiesChellaram Hospital - Diabetes Care & Multi Speciality
Bavdhan Medicare Centre
Tirupati Hospital
Asian Speciality Hospital
Lopmudra Polyclinic & Diagnostics Centre
Nearby ShoppingAditya Shagun Mall
Bagfull
Reliance Mall
Pavilion
Star Hotels & ResortsSayaji Hotels
The Gateway
Radisson Blu
United 21
J.W. Marriott
Ambrosia Spa & Resort
USP:Perfect blend of everything futuristic - location, design, technology
World-class fixtures and fittings, one-of-its-kind intelligent homes
Offers new age contemporary architecture
Gadgets are voice controlled via Google Home device for hands-free operation
+34 more",",Swimming Pool,Gymnasium,Indoor Games Room,Library And Business Centre,Multipurpose Hall No,Power Back Up No,Club House No,Lift No,Security No,Reserved Parking No,Visitor Parking No,Intercom Facility",Yes,Yes,Under Construction,7252 - 13527,19-Dec,24-Jan,2,236,Residential,Flat,2 Acre,data not available in site,data not available in site,data not available in site,411008,Puravankara Ltd.,"BATHROOMSAnti-skid/matt ceramic designer tile flooringColoured glazed/matt finished tiles up to the roof or false ceilingMaster Bathroom - Shower area with head rose or rain shower and wall mixer or diverter. Granite or marble counter-top wash basin with hot and cold mixerOther bathrooms - Shower area with head rose, wall mixer or diverter. Wash basin with pedestal and pillar cockProvision for geyser in master bathroom and other bathroomsAll bathrooms will be fitted with wall mounted EWC including seat cover, concealed/exposed cistern/flush valve (button type) and health faucet. Premium branded CP fittings (Roca/ Jaguar/ Kohler/ American standards/ Grohe/ Moen or equivalent) and sanitary fixtures (Kohler/ Toto/ Roca/ Hindware/ Jaguar/ Parryware/ American standards or equivalent)DOORSBedroom doors  Engineered solid core door frame with veneer finished shutter with good quality hardwareBathroom doors  Engineered solid core door frame with shutter of veneer finished outside and laminated finish inside with good quality hinges and thumb-turn lockBalconies for living & dining and bedrooms  Glazed French windows with heavy gauged UPVC/aluminium frames with sliding shutters with mosquito mesh or hinged shutters without mosquito meshUtility door- UPVC/ Aluminium glazed door cum window with sliding/hinged shutters.KITCHENVitrified tile flooring in kitchen and utility areaKitchen counter top of highly polished bull-nosed granite with single bowl, single drain stainless steel sink with Grohe/ Kohler premium quality or equivalent hot and cold basin mixerCeramic or vitrified tile dado up to the height of 600 mm (20) and rest of the wall is finished with putty and painted in oil bound distemperProvision for water purifier and geyser above drain board with water outlet provision.Provision for washing machine in the utility area and good quality long body Bib CockPAINTINGExterior walls are plastered and painted with external quality paint and textured surfaces in selective places as per architects designInterior walls are plastered and smoothly finished with putty and painted in oil bound distemperCeilings are finished with putty and painted in OBDAPARTMENT FLOORINGVitrified tile flooring in living, dining and passages leading to bedroomsVitrified tile flooring in master bedroom and other bedroomsVitrified tiles in balconiesELECTRICALAll electrical wiring is concealed in walls and ceilings with premium quality PVC conduitsAdequate power outlets for lights, fans, exhaust-fans, call-bell, geyser, television points, telephone points are provided in your apartmentAC point in Master bedroom and Guest BedroomProvision of dummy AC point in living & other bedrooms6KW power will be provided for 3 BHK, 5 KW power for 2 BHK with re lighting based on standard diversity factorsELEVATORAutomatic passenger lifts are provided in each block with emergency phone facility connected to security cabin with D. G. backup100 percent D.G. back-up for common area lighting, pumps and lifts2 KW back up for 2 BHK and 3 KW back up for 3 BHK apartmentsSECURITYPeripheral vigilance through CCTV/cameras and boom-barrier at the entrance.  Panic button in Master Bedroom and dining areaGas leak detector in kitchenIntra-communication facility from apartment to apartment and to security cabin within the complexBoom barriers at the entrance to the premisesWINDOWSHeavy gauged UPVC/Aluminium frames with glazed, sliding shutters with mosquito mesh or hinged shutters without mosquito mesh and mild steel grills.LOBBYElegant ground floor main entrance lobby with highly polished granite or equivalent or combination of granite and marbleCEILINGSPOP/Polystyrene cornices in living, dining, foyer and in passage areasBALCONY RAILINGS & STAIRCASE HANDRAILSMild steel railings as per architect's design for staircaseVENTILATORSHeavy gauged, UPVC/Aluminium frames with glazed, louvered/hinged/fixed shuttersProvision for exhaust fanSTRUCTURERCC framed structureParking in basement, ground and stilt floor",data not available in site,No,yes,yes,No,No,No
https://www.magicbricks.com/stellar-homes-hinjewadi-pune-pdpid-4d4235323939353631,Stellar Homes, 60.3 Lac -  65.1 Lac,2 BHK Flats,"Why Buy in this Project?
Live The Extraordinary
Thoughtfully Planned Designs, For Maximal Utility
Amazing Location
Awesome connectivity
Amenities for Everyone
Best Planned Layouts
Location Advantages:Hospitals:Ruby Hall: 5 min
Surya Hospital: 10 min
Life Point Hospital: 10 min
Polaris Hospital: 15 min
Aditya Birla Hospital: 20 min
Jupiter Hospital: 22 min
Schools:Pumpkin Patch: 1 min
Euro School: 2 min
Indira Kids School: 6 min
Akshara International School: 6 min
Vibgyor School: 5 min
Indus Champ School: 3 min
Indira National School: 5 min
Blossom Public School: 11 min
Blue Ridge Public School: 16 min
Wisdom World School: 17 min
Vidya Valley School: 6 min
Hospitality:Saundarya Garden: 5 min
Vivanta: 5 min
Holiday Inn: 5 min
Hotel Sayaji: 5 min
The Orchid Hotel: 15 min
Enrise By Sayaji: 5 min
Foods & Malls:Xion Mall: 5 min
D Mart: 5 min
Big Bazaar: 5 min
Balewadi High Street: 10 min
Decathlon: 5 min
Reliance Fresh Mart: 2 min
Colleges:Indus Business School: 3 min
Indira College: 6 min
Balaji College: 6 min
Cinepolis- Seasons- 4.3KM
Dr. D. Y. Patil College: 7 min
JSPM College: 10 min
+38 more",",Club House,Barbeque Pit,Swimming Pool,Lift,Security,Park,Gymnasium,Kids Play Area,Multipurpose Courts No,Power Back Up No,Reserved Parking No,Visitor Parking",Yes,Yes,Under Construction,5379,21-Aug,24-Mar,1,154,Residential,Flat,77000 Sq-ft,No,Yes,"S. No. 269/2/1A (P), Bhumkar Chowk to Laxmi Chowk Road, Hinjewadi Phase 1, Pune",411057,Rajluckxmi Realcon,"STRUCTUREEarthquake ResistantRCC Framed StructureFLOORING2x 4 Glossy Vitrified Tile Flooring Of Standard Make For The Entire FlatElectrical Point for Fridge, Water Purifier, Microwave, Food Processor & ChimneyDRY BALCONYStainless Steel Sink for Utensil WashingSTRUCTUREProvision for Washing MachineL-Shaped Granite Kitchen Platform with SS SinkEarthquake Resistant RCC Framed StructureProvision for Exhaust FanKITCHEN FLOORINGGlazed Dado Tiles Up to Lintel LevelGypsum Finish Plaster for Internal Walls & CeilingWall FinishInternal- Oil Bond Distemper Paint for the Entire FlatAAC Block MasonryDOORS & WINDOWSPowder-coated 3 Track Aluminum Sliding Windows with Mosquito NetDouble Coat Sand Faced Cement Plaster for External WallsExternal- Acrylic Weatherproof Paint for Entire BuildingMS Grills For Safety & SecurityPAINTINGLarge Windows For Better Air Circulation, Ventilation & ViewCentrally Located Electrical Point for Wifi Router", Hinjewadi Phase 1,No,yes,No,No,No,No
https://www.magicbricks.com/puraniks-abitante-fiore-bavdhan-pune-pdpid-4d4235313435333633,Puraniks Abitante Fiore, 41.6 Lac -  87.5 Lac,"1,2,3 BHK Flats","Why Buy in this Project?
Close to nature and scenic beauty.
At the same time close to city as well.
Project is designed to increase oxygen levels with the help of plants.
Our Balcony Garden will help reduce the effect of pollutants and keep you fresh.
In the dry balcony, you will have planters to grow your own herbs.
Location Advantage:Nearby Sri Chaitanya Techno School
Nearby Ryan International School
Nearby Sanskruti School
Nearby New India School
Nearby Vidya Valley School
Nearby Hinjewadi IT Park
Nearby Cummins India
Nearby ICC Trade Tower
Nearby Calsoft
Nearby Oracle
Nearby Home Dcor
Nearby More Supermarket
Nearby Oxford Golf Resort
Nearby City Pride Kothrud
Nearby Aditya Shagun Mall
Nearby State Bank of India
Nearby HDFC Bank
Nearby ICICI Bank
Nearby Axis Bank
Nearby Bank of Maharashtra
Nearby Chellaram Hospital
Nearby Opel Hospital
Nearby Sahyadari Hospital
Nearby Mangeshkar Hospital
Nearby Krishna Hospital
Nearby D-Palace
Nearby Up and Above
Nearby Trikaya
Nearby VITS
Nearby JW Mariott
+32 more",",Club House,Swimming Pool,Lift,Security,Park,Intercom Facility,Gymnasium,Kids Play Area,Rain Water Harvesting,Meditation Area,Fire Fighting Equipment No,Power Back Up",Yes,Yes,Under Construction,4776 - 8732,19-Dec,23-Jun,13,614,Residential,Flat,34 Acre,No,Yes,"Off, Pune Banglore Highway Pashan Exit, near Crystal Honda Showroom, Uttam Nagar, Bhunde Vasti, Bavdhan, Pune, Maharashtra",411008,Puranik Builders ltd.,"FLOORINGMarble flooring in Entrance LobbyLarge vitrified tiles in Living room, Kitchen & Passage areaAnti-Skid tiling in bathroomsLaminated wooden flooring in BedroomsWINDOWSPowder-coated French windows with Mosquito netGranite framing on all sides of a window openingKITCHENDesigner Modular KitchenProvision for gas pipelineProvision for Hot & Cold Water supplyGranite platform with Designer glazed tiles and S.S. sinkProvision for exhaust fanProvision for Hob, Chimney & MicrowaveCEILING & PUNNINGFalse ceilings (In the living room only)BATHROOMSShower cubicles (In Master bedroom only)Sanitary ware of reputed brandsCP. fittings of reputed brandProvision for storage water heater5-fixture sanitary fittingsPAINTInternal - Royale/Luster paintExternal- Water repellent fungus proof acrylic paintDOORSVeneer pressedFlush main doorLaminated doors for bedrooms and toiletsDesigner door fittings of reputed brandELECTRIC FITTINGSMCB protection of reputed brandModular branded electric switchesProvision for inverter point in each flat", Bavdhan,yes,yes,yes,No,No,No
https://www.magicbricks.com/aloha-wakad-pune-pdpid-4d4235333030323831,ALOHA, 64.9 Lac Onwards,2 BHK Flats,"Why Buy in this Project?
Budget friendly homes but more than what you expect
Schools & Colleges : Akshara International School, Lotus School, Blossom School, Euro School, Indira Institute, D.Y. Patil. College J.S.P.M.College
Hosptals - Golden Care, Life point , Surya Hospital, Rubi Hall. / Hijewadi IT Park",",Jogging and Strolling Track,Power Back Up,Lift,Gymnasium,Kids Play Area,Rain Water Harvesting,CCTV Camera,Lawn with pathway,Fire Fighting Equipment No,Swimming Pool No,Club House No,Security",Yes,Yes,Under Construction,data not available in site,21-Jul,23-Dec,2,94,Residential,Flat,30000 Sq-ft,data not available in site,Yes,"Survey No. 144/4 , Kemse wasti , Near Bhumkar Chowk, Wakad - 411057",411057,Rohit Infra,data not available in site, Near Bhumkar Chowk,No,yes,No,No,No,No
https://www.magicbricks.com/galaxy-ravet-pune-pdpid-4d4235313837313734,Galaxy, 50.0 Lac Onwards,2 BHK Flats,"Why Buy in this Project?
Gold Gym 3.2 Km
Reliance Mall 3.2 Km
DY Patil College 3.7 Km
PCCOE 2.3 Km
JSPM 6.1 Km
Hinjewadi IT Park 12 Km
Aditya Birla Hospital 8.1 Km
Expressway 2.8 Km
Symbiosis College 3.5 Km
Gahunje Stadium 5.6 Km
USP:Ravet is most upcoming area in PCMC. 
In West Pune, the Mukai Chowk of Ravet is an ideal perfect location for Commuting to IT hubs, Gyms such as Gold, Reliance Mart, 18 ft roads, great infra, Colleges such DY Patil and PCCOE, etc.

+10 more",",Power Back Up,Lift,Security,Reserved Parking,Kids Play Area,CCTV Camera No,Swimming Pool No,Club House No,Visitor Parking No,Intercom Facility No,Maintenance Staff No,Bank & ATM",Yes,Detail not provided,Under Construction,data not available in site,20-Oct,23-Nov,2,data not available in site,Residential,Flat,data not available in site,data not available in site,Yes,"Galaxy, Sr. no. 74/1A/1A, Next to legacy Exotica, near Mukai Chowk, Ravet, Pune, Maharashtra 412101",411044,"Gawade Realty LLP
                      	


                                Years of Experience - 25",Vitrified Tiles for flooringBathroom Ceramic Designer Floor tiles & Glaze Tiles for wall of standard make upGranite Kitchen Otta platform with stainless steel sinkDesigner Sanitary Ware of Cera or Equivalent makeConcealed Copper wiring of standard make accessoriesThree track aluminum powder coated windows with mosquito nets, Ravet,No,yes,No,No,No,No
https://www.magicbricks.com/blue-dice-phase-ii-chikhali-pune-pdpid-4d4235313230343235,Blue Dice Phase II, 30.0 Lac -  42.1 Lac,"1,2 BHK Flats","Why Buy in this Project?
Near by schools, colleges, hospitals, ATM, etc
USP:Fine blend of flawless architecture & design
Easy access to Old Mumbai-Pune Expressway
Open Gym, Temple, and Party Lawn
Dedicated Kids Play Area & Skating Rink

+3 more",",Jogging and Strolling Track,Outdoor Tennis Courts,Lift,Security,Reserved Parking,Visitor Parking,Kids Play Area No,Power Back Up No,Swimming Pool No,Club House No,Intercom Facility No,Maintenance Staff",Yes,Detail not provided,Ready To Move,4615 - 6333,17-Nov,19-Dec,2,260,Residential,Flat,3 Acre,data not available in site,data not available in site,data not available in site,411019,Sonigara Homes,"STRUCTUREEarthquake Resistant RCC StructureWALL FINISHMasonry: 6 Thick Internal & External WallsGypsum Finish Walls InternallySand Faced Plaster ExternallyPaint: Internally Oil Bound DistemperExternally Semi Acrylic PaintTiles: Dado Tiles In The Washroom & Kitchen Upto Lintel LevelKITCHENGranite Platform With Stainless Steel SinkProvision For Water PurifierFLOORINGLiving Room, Bedroom & Kitchen: 2 x 2 Vitrified TilesWashroom, Toilet, Dry Terrace & Terrace: Antiskid Floor TilesWINDOWS3 Track Powder Coated Aluminium Sliding With Insect MeshM.S. Safety Grill & Granite SillDOORSEntrance Door: Pre-laminated Flush DoorS.S. / Brass Finish Accessories & FixturesBedroom: Both Side Laminated Flush DoorToilets:Granite Frame & Waterproof Flush Door With Both Side LaminationTerrace: M.S. Powder Coated Folding DoorM.S. RailingELECTRICALConcealed Fire Retardant Low Smoke Copper WiresCircuit BreakerTV & Telephone Point In Living & One BedroomModular SwitchesSplit A.C. Provision In One BedroomFridge, Oven & Food Processor Point In KitchenProvision For Exhaust Fan In Kitchen & WashroomWashing Machine Point In Dry BalconyPLUMBINGConcealed PipingSanitary & Bath FittingsC.P. FittingsProvision For Geyser In One Washroom",data not available in site,yes,yes,No,No,No,No
https://www.magicbricks.com/mantra-essence-undri-pune-pdpid-4d4235303933343433,Mantra Essence, 27.0 Lac -  64.8 Lac,"2,3 BHK Flats","Why Buy in this Project?
Great design ensures minimum space wastage
Nests at the centre of the Undri growth story
Literally minutes away from shopping centres, schools
High on connectivity with highways and arterial roads
Location Advantage:The Bishop's School : 7 mins
Hadapsar IT Park : 30 mins
SP Infocity : 30 mins
The Corinthians club : 30 mins
Royal Heritage Mall : 11 mins
Pune Railway Station : 35 mins
Pune Airport : 45 mins
Ruby Hospital : 20 mins
Delhi Public School : 11 mins
Euro Kids Pre-school : 5 mins

+12 more",",Club House,Jogging and Strolling Track,Outdoor Tennis Courts,Cycling & Jogging Track,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Visitor Parking,Intercom Facility",Yes,Detail not provided,Under Construction,3630 - 6967,21-May,25-Jun,4,486,Residential,Flat,2 Acre,No,Yes,"Survey no. 56, Katraj-Hadapsar Bypass, Undri-Pisoli Road, Undri, Pune, Maharashtra 411060",411060,Mantra Properties,StructureEarthquake Resistant RCC Structure.MasonaryFly Ash Bricks/AAC Blocks Masonry WorkWall FinishGypsum Finish for Wall at internal side.Sand Faced Plaster for Exterior SurfaceKitchenGranite Kitchen PlatformBathroomISI Mark C.P. and Sanitary FittingsFlooring and Wall Finish24 x 24 vitrified flooringOBD PaintDoorWooden Door Frames and Wooden ShutterWindows:Two Track Powder Coated Aluminium Sliding WindowsMS Grills for Safety and SecurityNatural Stone Window Still, Undri,No,yes,yes,No,No,No
